show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,content_age,added_year
s1533,TV Show,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington",Anitta,Brazil,2020-12-16,2020,TV-MA,1 Season,"Docuseries, International TV Shows","In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",5,2020
s1534,TV Show,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico,,,2020-12-16,2020,TV-MA,1 Season,"Docuseries, Spanish-Language TV Shows","Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent.",5,2020
s1542,TV Show,The Ripper,"Ellena Wood, Jesse Vile",,United Kingdom,2020-12-16,2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries","In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper.",5,2020
s1565,TV Show,Futmalls.com,Lai Chun-yu,"Bryan Chang, Eugenie Liu, Bruce He, Ivy Shao, Allison Lin, River Huang, Ting Chun-cheng, Wang Ko-yuan, Phoebe Huang, Chu Chung-heng, Wu Chien-ho, Camille Chalons",,2020-12-10,2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Strange occurrences afflict a group of people after they purchase items on a shopping website from the future.,5,2020
s1587,TV Show,Room 2806: The Accusation,Jalil Lespert,,France,2020-12-07,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn at the height of his career.,5,2020
s1588,TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han",Taiwan,2020-12-05,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,5,2020
s1655,TV Show,Before 30,BB Sasore,"Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle",Nigeria,2020-11-24,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30.",10,2020
s1707,TV Show,The Minions of Midas,Mateo Gil,"Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá",Spain,2020-11-13,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.,5,2020
s1716,TV Show,A Queen Is Born,Carla Barros,"Gloria Groove, Alexia Twister",Brazil,2020-11-11,2020,TV-14,1 Season,"International TV Shows, Reality TV",Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,5,2020
s1722,TV Show,A Lion in the House,"Steven Bognar, Julia Reichert",,United States,2020-11-10,2006,TV-14,1 Season,TV Shows,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,19,2020
s1734,TV Show,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,,Argentina,2020-11-05,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story.",5,2020
s1772,TV Show,Afronta! Facing It!,Juliana Vicente,"Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká",Brazil,2020-10-31,2017,TV-PG,1 Season,"Docuseries, International TV Shows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",8,2020
s1795,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien",Taiwan,2020-10-26,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Mysteries","A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.",5,2020
s1801,TV Show,Move,"Thierry Demaizière, Alban Teurlai",,United States,2020-10-23,2020,TV-MA,1 Season,"Docuseries, International TV Shows",Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,5,2020
s1841,TV Show,Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira","Mexico, Spain",2020-10-16,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences.",5,2020
s1881,TV Show,To the Lake,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Russia,2020-10-07,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive.",5,2020
s1999,TV Show,Call the Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",United Kingdom,2020-09-15,2020,TV-MA,9 Seasons,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.,5,2020
s2023,TV Show,Julie and the Phantoms,Kenny Ortega,"Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada, Jadah Marie, Sacha Carlson, Savannah Lee May, Cheyenne Jackson, Carlos Ponce, Booboo Stewart, Sonny Bustamante",United States,2020-09-10,2020,TV-G,1 Season,"Kids' TV, TV Comedies","Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!",5,2020
s2034,TV Show,La Línea: Shadow of Narco,Pepe Mora,,Spain,2020-09-09,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","A stone's throw from Africa, the Spanish beach town of La Línea is a drug smuggling hot spot. But the police and mayor are determined to change that.",5,2020
s2081,TV Show,Thomas and Friends,Greg Tiernan,"Michael Angelis, Ben Small, Keith Wickham, Kerry Shale",United Kingdom,2020-09-01,2020,TV-Y,2 Seasons,"British TV Shows, Classic & Cult TV, Kids' TV","This animated children's series follows the adventures of Thomas, a cheerful blue tank engine who lives on the island of Sodor.",5,2020
s2109,TV Show,Goedam,Hong Won-ki,"SEOLA, Lee Hyun-joo, Song Chae-yun, Han Ga-rim, Shim So-young",South Korea,2020-08-20,2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries","When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",5,2020
s2195,TV Show,Unlucky Ploy,Nopparoj Chotmunkongsit,"Anusorn Maneethet, Atsadaporn Siriwattanakul, Waratthaya Wongchayaporn, Thanawetch Siriwattanakul, Pokchat Thiamchai, Phichikorn Ployphimana, Supachai Suwanon, Daraneenuch Pasutanavin, Kittiphong Dumavibhat, Aphiradi Phawaphutanon, Attharut Krongrasri, Ronnawee Sereerat, Lita Janvarapa, Sitang Punnapob, Yani Tramod",,2020-07-30,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","In this remake of the Korean series, a man becomes mired in the lives of two women who happen to share the same name.",5,2020
s2215,TV Show,Sinatra: All or Nothing at All,Alex Gibney,,United States,2020-07-23,2015,TV-14,1 Season,Docuseries,"Legendary crooner Frank Sinatra's life and talent are captured in this documentary series featuring fond memories from friends, family and colleagues.",10,2020
s2246,TV Show,Dating Around: Brazil,Cassia Dian,,Brazil,2020-07-10,2020,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows","In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?",5,2020
s2252,TV Show,The Twelve,Wouter Bouvijn,"Maaike Neuville, Charlotte De Bruyne, Tom Vermeir, Mieke De Groote, Johan Heldenbergh, Zouzou Ben Chikha, Peter Gorissen, Piet De Praitere, Maaike Cafmeyer, Josse De Pauw, Greet Verstraete, Koen De Sutter, Isabelle Van Hecke, Lynn Van Royen",Belgium,2020-07-10,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Twelve jurors — ordinary people with struggles of their own — must decide the case of a woman accused of killing her best friend and her own daughter.,6,2020
s2276,TV Show,Hook,Rachit Kusonkoonsiri,"Peemapol Panichtamrong, Phiravich Attachitsataporn, Thime Pichitsurakit, Jidapa Siribunchawan, Yanin Opassathaworn, Jaturong Kolimart, Pete Thongchua, Ratchanont Sukpragawp, Kanyaphak Pongsak, Kittikun Tansuhas, Tanawat Cheawaram, Toru Takizawa, Noraworn Puangumpai",Thailand,2020-07-05,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.",5,2020
s2308,TV Show,Abby Hatcher,Kyran Kelly,"Macy Drouin, Wyatt White, Paul Sun-Hyung Lee, Michela Luci, Christian Dal Dosso, Laaibah Alvi, Leo Orgil","United States, Canada",2020-07-01,2019,TV-Y,1 Season,Kids' TV,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",6,2020
s2406,TV Show,DC's Legends of Tomorrow,Rob Seidenglanz,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale",United States,2020-06-10,2020,TV-14,5 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",5,2020
s2424,TV Show,Supernatural,Phil Sgriccia,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert","United States, Canada",2020-06-05,2019,TV-14,15 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Horror","Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.",6,2020
s2471,TV Show,Supergirl,Jesse Warn,"Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie McGrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance",United States,2020-05-25,2019,TV-14,5 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.",6,2020
s2481,TV Show,Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite McNeil",Canada,2020-05-22,2020,TV-MA,2 Seasons,TV Comedies,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",5,2020
s2508,TV Show,Patton Oswalt: I Love Everything,Marcus Raboy,"Patton Oswalt, Bob Rubin",United States,2020-05-19,2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,5,2020
s2523,TV Show,Inhuman Resources,Ziad Doueiri,"Eric Cantona, Suzanne Clément, Alex Lutz, Gustave Kervern, Alice de Lencquesaing, Louise Coldefy, Nicolas Martinez, Adama Niane",France,2020-05-15,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.",5,2020
s2528,TV Show,Sleepless Society: Two Pillows & A Lost Soul,Sivaroj Kongsakul,"Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke",Thailand,2020-05-15,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,5,2020
s2554,TV Show,The Eddy,"Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul","André Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti, Tahar Rahim, Benjamin Biolay, Adil Dehbi, Melissa George, Lada Obradovic, Tchéky Karyo, Randy Kerber, Elyes Aguis, Damian Nueva Cortes","United Kingdom, Germany, United States, France",2020-05-08,2020,TV-MA,1 Season,"International TV Shows, TV Dramas","The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.",5,2020
s2558,TV Show,Scissor Seven,He Xiaofeng,"He Xiaofeng, Jiang Guangtao, Duan Yixuan, Zhu Rongrong, Wen Sen, Jiang Huiqin, Ban Ma, Ronny Chieng, Shinji Saito, Daniel Sosa",China,2020-05-07,2020,TV-MA,2 Seasons,"International TV Shows, TV Action & Adventure, TV Comedies","Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",5,2020
s2566,TV Show,Almost Happy,Hernán Guerschuny,"Sebastián Wainraich, Natalie Pérez, Santiago Korovsky",Argentina,2020-05-02,2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",5,2020
s2603,TV Show,The Forest of Love: Deep Cut,Sion Sono,"Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden",Japan,2020-04-30,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,5,2020
s2604,TV Show,The Victims' Game,"David Chuang, Chen Kuan-chung","Joseph Chang, Hsu Wei-ning, Jason Wang, Ruby Lin, Moon Lee, River Huang, Chen Chia-kuei, Ding Ning, Hsia Ching-ting, Rexen Cheng",Taiwan,2020-04-30,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.",5,2020
s2660,TV Show,Middleditch & Schwartz,Ryan Polito,"Thomas Middleditch, Ben Schwartz",United States,2020-04-21,2020,TV-MA,1 Season,TV Comedies,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.,5,2020
s2676,TV Show,Fary : Hexagone,"Adrien Lagier, Ousmane Ly",Fary,France,2020-04-16,2020,TV-MA,2 Seasons,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.",5,2020
s2697,TV Show,The Trial,Stefano Lodovichi,"Vittoria Puccini, Francesco Scianna, Camilla Filippi, Simone Colombari, Maurizio Lastrico, Alessandro Averone, Euridice Axen, Marco Baliani, Pia Lanciotti, Giordano De Plano, Roberto Herlitzka, Tommaso Ragno, Margherita Caviezel, Michele Morrone",Italy,2020-04-10,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says she's innocent.",6,2020
s2753,TV Show,Bal Ganesh,Vijay S. Bhanushali,"Meghna Erande Joshi, Parminder Ghumman",,2020-03-31,2019,TV-Y7,1 Season,Kids' TV,"Watch Ganesh destroy demons, disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant god’s childhood.",6,2020
s2796,TV Show,"Tiger King: Murder, Mayhem and Madness","Eric Goode, Rebecca Chaiklin",,United States,2020-03-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.,5,2020
s2814,TV Show,Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,Lynn Novick,,United States,2020-03-15,2019,TV-MA,1 Season,Docuseries,"This docuseries follows several incarcerated people as they pursue a college degree through the Bard Prison Initiative, a rigorous education program.",6,2020
s2822,TV Show,Kingdom,Kim Seong-hun,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States",2020-03-13,2020,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, TV Action & Adventure","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",5,2020
s2847,TV Show,Velvet,Carlos Sedes,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain,2020-03-04,2016,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.",9,2020
s2878,TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer","Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi",Saudi Arabia,2020-02-27,2020,TV-14,1 Season,TV Shows,"From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.",5,2020
s2891,TV Show,Unabomber - In His Own Words,Mick Grogan,Ted Kaczynski,Canada,2020-02-22,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","The CIA attempts to turn Ted Kaczynski, aka the Unabomber, into a super agent — a plan that backfires. Based on real events.",7,2020
s2907,TV Show,On the Real,Tosin Coker,"Ini Dima Okojie, Akah Nnani, Nancy Isime, Maurice Sam, David Jones David, Angel Funto Johnson, Pearl Okorie, Tomiwa Tegbe, Peanut Omatsola",Nigeria,2020-02-16,2017,TV-MA,1 Season,"International TV Shows, TV Dramas",A group of reality stars transitions into their newly achieved fame while dealing with the demands of an obnoxious TV executive and their regular lives.,8,2020
s2924,TV Show,Sleepless Society: Insomnia,"Pantham Thongsang, Cheewatan Pusitsuksa","Chutimon Chuengcharoensukying, Sutthirak Subvijitra, Nutthasit Kotimanuswanich, Sita Maharavidejakorn, Sutthatip Wutichaipradit, Warisara Yu, Chokchai Charoensuk, Supoj Pongpancharoen, Nikorn Sae Tang, Gandhi Wasuwitchayagit, Petchpatchara Kitkrairaj, Duangjai Hirunsri, Nilacha Fuangfukiet, Teeranai Na Nongk้hai, Sumontha Suanpolrat, Wimolphan Chaleejunghan, Damkerng Thitapiyasak, Natthawara Hongsuwan, Nunthapak Chalermpuwadej, Tachatorn Supanan",Thailand,2020-02-13,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Haunted by recurring visions, a young woman with insomnia visits an old home to solve a mystery and put her nightmares to an end.",6,2020
s2948,TV Show,Arrow,James Bamford,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States,2020-02-05,2019,TV-14,8 Seasons,"Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.",6,2020
s2949,TV Show,The Pharmacist,"Julia Willoughby Nason, Jenner Furst",,United States,2020-02-05,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries","After his son's tragic death, a Louisiana pharmacist goes to extremes to expose the rampant corruption behind the opioid addiction crisis.",5,2020
s2963,TV Show,Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, André Gordon, Matthew Mercer, Christopher Corey Smith, Philece Sampler, Selah Victor, Marieve Herington, Ben Diskin, Kira Buckland, Erin Fitzgerald, Grant George, Ethan Murray, David Roach, Todd Haberkorn","France, South Korea, Japan, United States",2020-02-01,2019,TV-Y7,5 Seasons,"Kids' TV, TV Action & Adventure","When Paris is in peril, Marinette becomes Ladybug. Little does she know, her school crush Adrien is actually Cat Noir, another city-saving superhero.",6,2020
s3000,TV Show,The Ghost Bride,Quek Shio-chuan,"Huang Peijia, Wu Kang-jen, Ludi Lin, Janet Hsieh, Kuang Tian, Susan Leong, Jordan Voon, Angeline Tan, Jojo Goh, Teresa Daley","Taiwan, Malaysia",2020-01-23,2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family.",5,2020
s3037,TV Show,Jamtara - Sabka Number Ayega,Soumendra Padhi,"Amit Sial, Dibyendu Bhattacharya, Aksha Pardhasany, Sparsh Shrivastava, Monika Panwar, Anshumaan Pushkar",India,2020-01-10,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it.",5,2020
s3068,TV Show,"Nisman: The Prosecutor, the President, and the Spy",Justin Webster,,"Spain, Germany, Denmark, United States",2020-01-01,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.",5,2020
s3097,TV Show,You,Lee Toland Krieger,"Penn Badgley, Elizabeth Lail, Shay Mitchell, John Stamos, Luca Padovan, Zach Cherry",United States,2019-12-26,2019,TV-MA,2 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas","Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",6,2019
s3122,TV Show,Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,,"United Kingdom, United States",2019-12-18,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,6,2019
s3131,TV Show,"Crazy, Lovely, Cool",Obi Emelonye,"Enyinna Nwigwe, Adesua Etomi, Uru Eke, Zynnell Zuh, Obi Okolie, Anthony Monjaro, Emmanuel Emelu, Chinonye Chidolue, Lorenzo Menakaya, King Bawa",Nigeria,2019-12-15,2018,TV-MA,1 Season,"International TV Shows, TV Dramas","For a group of charismatic undergraduates, the jolting revelations from a campus blog turn surviving university life into a serious matter.",7,2019
s3138,TV Show,Girls und Panzer,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda",Japan,2019-12-15,2012,TV-PG,1 Season,"Anime Series, International TV Shows",Miho Nishizumi tries to escape her family's tradition of tankery by enrolling at a new high school. Instead she gets back into the sport with friends.,13,2019
s3175,TV Show,The Chosen One,Michel Tikhomiroff,"Paloma Bernardi, Renan Tenca, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Kiko Vianello, Francisco Gaspar, Tuna Dwek, Lourinelson Vladmir, Leonardo Ventura, Aury Porto, Glauber Amaral, Astrea Lucena",Brazil,2019-12-06,2019,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.",6,2019
s3176,TV Show,The Confession Killer,"Robert Kenner, Taki Oldham",,United States,2019-12-06,2019,TV-14,1 Season,"Crime TV Shows, Docuseries",Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth – and horrifying consequences.,6,2019
s3357,TV Show,Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,2019-10-31,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",6,2019
s3359,TV Show,"Bring It On, Ghost",Park Joon-hwa,"Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun",South Korea,2019-10-30,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.,9,2019
s3424,TV Show,Black Money Love,Ahmet Katıksız,"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,2019-10-15,2014,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After a cop's fiancée and a jewelry designer's father are found dead together, the two bereaved ones face a perilous aftermath of a theft gone wrong.",11,2019
